Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
719;0;1;0;2;2;3;11;1;3;2;12;5;8;6;0;3;2;6;7;1.0;1.0;2;3;2;3;3;2;3;4;0;1
899;0;1;0;1;0;3;5;1;5;2;8;0;2;5;0;0;2;3;2;2.0;1.0;1;1;1;0;2;0;3;4;6;0
899;0;1;0;2;0;2;3;1;5;2;12;0;2;5;0;0;2;3;2;2.0;1.0;1;2;0;5;2;3;3;4;6;0
450;1;4;0;2;0;3;5;1;1;2;12;2;2;6;0;0;2;6;7;1.0;2.0;1;0;0;1;2;1;3;4;6;0
450;1;4;0;2;0;1;13;1;5;2;8;0;2;6;0;0;2;6;7;1.0;2.0;10;3;2;3;3;3;3;4;0;0
834;0;0;2;2;0;1;3;1;5;2;12;3;2;4;0;0;2;3;7;1.0;4.0;1;3;2;3;3;3;3;4;0;1
834;0;0;0;2;0;2;13;1;5;2;2;5;2;4;0;0;2;3;6;1.0;4.0;1;1;0;1;2;3;3;4;6;1
834;0;0;0;3;0;2;13;1;5;2;8;2;2;4;0;0;2;3;2;1.0;4.0;12;1;0;0;2;0;3;4;11;1
834;0;0;2;2;2;2;4;1;4;2;8;2;2;4;0;0;2;3;2;1.0;4.0;1;1;1;4;2;3;3;4;0;1
350;4;0;0;2;0;2;2;1;1;2;12;0;3;4;0;3;3;6;2;1.0;1.0;1;1;0;5;0;3;3;4;18;1
